City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
476,Rock Sound,BS,82.85,few clouds,24.9,-76.2,Pink Corral Bay Property
478,Kanbe,MM,78.85,overcast clouds,16.7053,96.0017,CBT Mingalar Bar Bio Garden
479,Zamora,EC,77.47,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
481,Pamekasan,ID,77.79,scattered clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
486,Aksu,CN,75.42,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
489,Dangriga,BZ,81.82,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
491,Kandrian,PG,78.75,moderate rain,-6.2167,149.55,Kandrian Station
492,Itupiranga,BR,89.92,broken clouds,-5.1347,-49.3267,Hotel Panorama
494,Ugoofaaru,MV,82.83,broken clouds,5.6667,73.0,Ungoofaaru Inn
497,Ajdabiya,LY,78.4,clear sky,30.7554,20.2263,Almadina Hotel
499,Nantucket,US,80.74,mist,41.2835,-70.0995,Jared Coffin House
504,Honiara,SB,75.22,overcast clouds,-9.4333,159.95,Heritage Park Hotel
507,Kismayo,SO,75.92,light rain,-0.3582,42.5454,Agan-Hotel
510,Nizwa,OM,89.24,overcast clouds,22.9333,57.5333,Orient Apartments
517,Paracatu,BR,80.02,scattered clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
521,Bambanglipuro,ID,75.51,broken clouds,-7.95,110.2833,Puri Brata
523,Umm Lajj,SA,86.67,broken clouds,25.0213,37.2685,Moon light Furnished Units
525,Limenaria,GR,80.94,clear sky,40.6261,24.5786,Thalassies Hotel
526,La Motte-Servolex,FR,83.8,clear sky,45.5942,5.8758,ibis budget Chambéry Centre-Ville
527,Taitung,TW,81.54,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
528,Khorramabad,IR,81.54,clear sky,33.4878,48.3558,Azadi Hotel
529,Pacific Grove,US,81.21,scattered clouds,36.6177,-121.9166,Lovers Point Inn
532,Hermon,US,78.48,broken clouds,44.8101,-68.9134,Pumpkin Patch RV Resort
533,Buritizeiro,BR,82.47,scattered clouds,-17.3511,-44.9622,Santos Palace Hotel
536,Rancharia,BR,82.04,scattered clouds,-22.2292,-50.8931,Eros Motel
541,Palmer,US,85.06,scattered clouds,42.1584,-72.3287,Wedgewood Motel
543,Iracoubo,GF,79.11,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
546,Grafton,US,86.25,clear sky,42.207,-71.6856,The Grafton Inn
547,Mehrabpur,PK,85.93,overcast clouds,28.1085,68.0254,
556,Gouyave,GD,84.97,scattered clouds,12.1646,-61.7296,Rumboat Retreat
557,Odweyne,SO,77.58,overcast clouds,9.4092,45.064,Eng Hiirey House
559,Aswan,EG,87.87,few clouds,24.0934,32.907,Nuba Nile
564,Eydhafushi,MV,82.67,few clouds,5.1033,73.0708,Soneva Fushi
566,Antibes,FR,80.98,clear sky,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
567,Basco,PH,85.14,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
569,Gorontalo,ID,75.24,heavy intensity rain,0.5412,123.0595,Maqna Hotel by Prasanthi
577,San Policarpo,PH,79.0,overcast clouds,12.1791,125.5072,Agapita M. Nicart
578,Aubenas,FR,76.89,clear sky,44.6201,4.3899,ibis Aubenas
579,Presidente Olegario,BR,76.01,scattered clouds,-18.4178,-46.4181,Cruzeiro Hotel
581,Sayan,PE,75.74,few clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
586,Coos Bay,US,75.31,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
587,Eyl,SO,79.77,overcast clouds,7.9803,49.8164,Amiin Hotel
589,Samarai,PG,76.14,overcast clouds,-10.6167,150.6667,Nuli Sapi
591,Sola,VU,79.65,scattered clouds,-13.8833,167.55,Leumerus Bungalows
595,Nishihara,JP,82.06,clear sky,26.1842,127.7558,Minshuku Agaihama
600,Ninghai,CN,79.61,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
605,Brooks,CA,80.04,scattered clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
608,Tiznit,MA,81.03,scattered clouds,29.5833,-9.5,
609,Asyut,EG,86.4,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
616,San Lorenzo,PY,85.14,broken clouds,-25.3333,-57.5333,Canarias Hotel
618,Hambantota,LK,79.18,broken clouds,6.1241,81.1185,Bungalow 63
624,Marsa Matruh,EG,76.01,clear sky,31.3525,27.2453,Beau Site
626,Vaitape,PF,77.27,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
627,Binabalian,PH,82.54,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
628,Ardakan,IR,84.13,clear sky,32.31,54.0175,Ardakan Hotel
630,Moa,CU,86.07,few clouds,20.6569,-74.9403,Carmen
631,Ciudad Del Maiz,MX,81.88,broken clouds,22.4,-99.6,Hotel Casona del General
635,Punta,PH,76.64,overcast clouds,8.9897,125.34,Vyjannex boarding house
637,Merta,IN,85.69,broken clouds,26.65,74.0333,V Resorts Ganthiya
638,Callaguip,PH,80.82,overcast clouds,18.0714,120.4867,Pangil Beach Resort
642,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda Gracia
643,Forio,IT,80.53,clear sky,40.7342,13.8646,Hotel Terme Providence
645,Sao Filipe,CV,75.78,clear sky,14.8961,-24.4956,Hotel Xaguate
646,Biarritz,FR,78.21,clear sky,43.4801,-1.5556,Hôtel de l'ocean
647,Najran,SA,87.4,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
651,Tamandare,BR,76.33,clear sky,-8.7597,-35.1047,Pousada 100 Passos
652,Binzhou,CN,76.95,scattered clouds,37.3667,118.0167,Hampton By Hilton Binzhou
654,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
656,Zhezkazgan,KZ,79.7,clear sky,47.8043,67.7144,Hotel Zumrat
658,Cagliari,IT,80.92,clear sky,39.245,9.0912,Holiday Inn Cagliari
660,Athol,US,83.3,scattered clouds,42.5959,-72.2268,Pequoig House Apartments
665,Weligama,LK,76.1,broken clouds,5.9667,80.4167,Weligama Bay Resort
666,Daru,PG,75.04,overcast clouds,-9.0763,143.2092,Daru Lodge
667,Fukue,JP,80.17,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
669,Atsipopoulon,GR,75.25,clear sky,35.35,24.4333,Thalassa Boutique Hotel
672,Wajima,JP,75.58,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
673,Pokaran,IN,86.11,light rain,26.9167,71.9167,Motel Pokaran - RTDC
674,Carballo,ES,80.29,light rain,43.213,-8.691,Pazo do Souto
677,Finschhafen,PG,77.52,moderate rain,-6.6024,147.8681,Cossam Guest House
678,Whitefish,US,86.11,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
679,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
682,Mindelo,CV,75.36,few clouds,16.8901,-24.9804,Hotel Gaudi
